40,"Restaurant_excellent excellent_, ,_accueil accueil_très très_sympathique sympathique_. ._Belle Belle_carte carte_, ,_plats plats_originaux originaux_et et_goûteux goûteux_, ,_une une_belle belle_cuisine cuisine_! !_!"
50,Merci_! !_C’était C’était_excellent excellent_👌🏻 👌🏻_Nourriture Nourriture_et et_vins vins_fins fins_et et_puissants puissants_à à_la la_fois fois_. ._. ._vins vins_originaux originaux_et et_belles belles_découvertes découvertes_. ._Service Service_impeccable impeccable_. ._Bravo
40,Cuisine_raffinée raffinée_avec avec_une une_belle belle_présentation présentation_. ._On On_s' s'_est est_régalé régalé_! !_J' J'_aurais aurais_bien bien_mangé mangé_un un_peu peu_plus plus_de de_morceaux morceaux_de de_morue morue_en en_entrée entrée_... ..._La La_décoration décoration_de de_la la_salle salle_manque manque_un un_peu peu_de de_chaleur chaleur_mais mais_l’accueil l’accueil_n' n'_en en_manque manque_pas pas_. ._Nous Nous_reviendrons reviendrons_sûrement
40,"Très_bon bon_restaurant restaurant_, ,_pour pour_notre notre_deuxième deuxième_visite visite_, ,_nous nous_adorons adorons_mais mais_un un_petit petit_plus plus_en en_assaisonnement assaisonnement_serait serait_pas pas_de de_refus refus_. ._Mais Mais_une une_complixité complixité_pour pour_un un_stationnement stationnement_! !_Visiter Visiter_ce ce_restaurant restaurant_, ,_ça ça_en en_vaut vaut_la la_peine peine_."
50,Petit_restaurant restaurant_mais mais_grand grand_service service_! !_La La_carte carte_est est_souvent souvent_renouvelée renouvelée_et et_toujours toujours_avec avec_goût goût_! !_Autant Autant_de de_qualité qualité_dans dans_les les_plats plats_que que_les les_desserts desserts_. ._C’est C’est_toujours toujours_un un_moment moment_agréable agréable_de de_s’y s’y_rendre rendre_!
50,Excellent_restaurant restaurant_un un_accueil accueil_formidable formidable_une une_assiette assiette_parfaite parfaite_de de_très très_grande grande_cuisine cuisine_. ._Je Je_le le_conseille conseille_vivement
50,Nous_retournons retournons_dans dans_ce ce_restaurant restaurant_pour pour_la la_deuxième deuxième_fois fois_et et_sommes sommes_à à_nouveau nouveau_ravis ravis_! !_Une Une_carte carte_très très_originale originale_qui qui_change change_tous tous_les les_mois mois_et et_où où_tout tout_fait fait_envie envie_! !_Notre Notre_repas repas_était était_excellent excellent_!
40,"Malgré_un un_cadre cadre_un un_peu peu_"" ""_froid froid_"" ""_et et_qui qui_mériterait mériterait_une une_meilleure meilleure_acoustique acoustique_, ,_excellent excellent_déjeuner déjeuner_avec avec_une une_cuisine cuisine_"" ""_audacieuse audacieuse_"" ""_, ,_efficace efficace_et et_une une_technique technique_maîtrisée maîtrisée_, ,_le le_service service_est est_bien bien_assuré assuré_et et_l' l'_accueil accueil_chaleureux chaleureux_! !_Un Un_nombre nombre_de de_couverts couverts_volontairement volontairement_limité limité_pour pour_ce ce_bistrot bistrot_gastro gastro_"" ""_intimiste intimiste_"" ""_, ,_un un_rapport rapport_..."
50,"Très_bonne bonne_adresse adresse_. ._Joli Joli_cadre cadre_, ,_cuisine cuisine_excellente excellente_, ,_richesse richesse_et et_originalité originalité_des des_produits produits_sélectionnés sélectionnés_, ,_très très_bons bons_vins vins_, ,_accueil accueil_au au_top top_et et_service service_parfait parfait_. ._Je Je_recommande recommande_ce ce_restaurant restaurant_+++"
50,"Que_ce ce_soit soit_les les_menus menus_du du_midi midi_ou ou_la la_carte carte_, ,_tout tout_est est_toujours toujours_délicieux délicieux_, ,_surprenant surprenant_et et_tout tout_ça ça_à à_prix prix_modéré modéré_compte compte_tenu tenu_de de_la la_qualité qualité_de de_cette cette_si si_belle belle_cuisine cuisine_. ._Il Il_est est_de de_plus plus_en en_plus plus_difficile difficile_d' d'_y y_manger manger_sans sans_réserver réserver_, ,_mais mais_..."
50,"Arrivé_presque presque_à à_l' l'_heure heure_de de_fermeture fermeture_de de_midi midi_, ,_pancarte pancarte_"" ""_complet complet_"" ""_sur sur_la la_porte porte_mais mais_2 2_petites petites_tables tables_de de_libre libre_... ..._Aller Aller_! !_je je_tente tente_quand quand_même même_... ..._Accueil Accueil_très très_aimable aimable_, ,_"" ""_je je_suis suis_seul seul_et et_les les_2 2_tables tables_libres libres_, ,_j' j'_ai ai_peu peu_de de_temps temps_pour pour_manger manger_"" ""_... ..._"" ""_ok ok_, ,_installez installez_-vous -vous_"" ""_15mn 15mn_plus plus_..."
